en	ja	note
coordination compound	配位化合物
coordination sphere	配位圏
chelate	キレート
metal center	金属中心
transition metal	遷移金属
main group element	典型元素
crystal field	結晶場
ligand field	配位子場
spin state	スピン状態
oxidation-reduction reaction	酸化還元反応
metathesis	複分解
organometallic	有機金属の
metal-organic framework	金属有機構造体
polyoxometalate	ポリオキソメタレート
cluster compound	クラスター化合物
lattice structure	格子構造
unit cell	単位格子
space group	空間群
solid-state synthesis	固相合成
sol-gel method	ゾル-ゲル法
hydrothermal synthesis	水熱合成
calcination	焼成
sintering	焼結
doping	ドーピング
defect	欠陥
vacancy	空孔
